location,in_time,per change,abs change,avg,standard dev,main hr count
 ,2012-07-29 08:00:00,4.20239986812,2396.2,57019.8,2039.05447696,59416
 ,2012-08-10 08:00:00,4.10364595115,2340.1,57024.9,2044.96901933,59365
 ,2012-07-27 14:00:00,8.1137378185,10127.6,124820.4,8252.20735561,134948
 ,2012-07-28 00:00:00,16.1984435136,20239.125,124944.875,16585.1821021,145184
 ,2012-07-27 23:00:00,27.6535949836,34046.0,123116.0,15888.900906,157162
 ,2012-08-10 17:00:00,9.47114245809,11955.3,126228.7,7420.29449618,138184
 ,2012-08-03 04:00:00,225.730752338,95780.6363636,42431.3636364,58993.5606891,138212
 ,2012-07-31 00:00:00,25.0672743582,31020.0,123747.0,14617.3267392,154767
 ,2012-08-10 05:00:00,200.540500361,75541.2,37668.8,46879.7158178,113210
 ,2012-07-27 19:00:00,8.942214751,10639.0,118975.0,6685.79406071,129614
 ,2012-08-12 20:00:00,59.6795468687,75557.5555556,126605.444444,27643.4082121,202163
 ,2012-07-27 08:00:00,7.7108755929,4382.8,56839.2,1712.73341767,61222
 ,2012-08-10 16:00:00,8.81542088886,11927.0,135297.0,10797.4663139,147224
 ,2012-08-10 10:00:00,9.06964499079,5374.2,59254.8,4860.35963278,64629
 ,2012-08-10 04:00:00,249.990194711,104299.545455,41721.4545455,57777.1707753,146021
 ,2012-08-03 05:00:00,187.088341544,71210.5,38062.5,47491.935099,109273
 ,2012-08-13 00:00:00,15.3495401235,19196.25,125060.75,16722.3754125,144257
 ,2012-08-10 13:00:00,9.72430666291,9952.4,102345.6,7996.8562348,112298
 ,2012-07-27 17:00:00,6.89044679623,8718.0,126523.0,7819.52189076,135241
 ,2012-08-10 06:00:00,35.9631740059,23320.5,64845.5,19925.2668552,88166
 ,2012-07-28 03:00:00,99.4298578103,76656.2222222,77095.7777778,69139.7538834,153752
 ,2012-08-11 15:00:00,26.8516496498,36027.1,134170.9,8198.9753561,170198
 ,2012-08-11 16:00:00,19.1151480249,25624.2,134051.8,8356.22669391,159676
 ,2012-08-12 21:00:00,88.4083478211,123571.0,139773.0,26708.067461,263344
 ,2012-08-12 23:00:00,25.1006939733,30988.25,123455.75,16569.627589,154444
