change,perc_change,total_count,location
434.6,72.87056,1031,"oxford, ms"
457.4,71.51345,1097,canberra
439.33333,65.8013,1107,casablanca
483.8,62.16911,1262,"edmonton, alberta"
529.53333,60.14235,1410,san francisco bay area
449.4,57.71898,1228,"edmonton, ab"
359.2,54.94035,1013,beijing
452.93333,54.30421,1287,kingston
379.66667,54.21228,1080,"boulder, co"
886.73333,52.74198,2568,edmonton
404.53333,51.63376,1188,"cambridge, ma"
398.4,50.64836,1185,copenhagen
502.6,50.54304,1497,vienna
346.73333,50.45106,1034,prague
363.4,50.29062,1086,"denton, tx"
576.86667,49.76707,1736,brussels
334.53333,49.7472,1007,"new haven, ct"
1302.73333,49.17336,3952,"washington, d.c."
481.6,49.0228,1464,tehran
343.73333,49.01607,1045,"victoria, bc"
1001.53333,48.77281,3055,"athens, greece"
400.13333,48.45011,1226,honolulu
389.13333,48.34755,1194,bucharest
718,48.1556,2209,"oakland, ca"
330.66667,47.62362,1025,tegucigalpa
392.6,46.82729,1231,budapest
419.26667,45.43747,1342,lisbon
1526.73333,45.3539,4893,athens
4014.4,44.20853,13095,"washington, dc"
1138.53333,44.05293,3723,minneapolis
319.73333,44.02423,1046,"arlington, va"
306.73333,43.80236,1007,"vancouver, bc, canada"
331.46667,42.74048,1107,"alexandria, va"
315.13333,42.65091,1054,"hartford, ct"
420.86667,41.99707,1423,beirut
376.4,41.51776,1283,kolkata
852.86667,41.23848,2921,dc
342.13333,40.9806,1177,guate
404.8,40.96337,1393,"guatemala, guatemala"
449.13333,40.90964,1547,montevideo
314.46667,40.39219,1093,"minneapolis, minnesota"
456.8,40.31062,1590,"puebla, mÌ©xico"
2470.33333,38.89268,8822,"san francisco, ca"
1314.66667,38.7998,4703,"minneapolis, mn"
2868.46667,38.50532,10318,san francisco
308.66667,38.42324,1112,brooklyn ny
486.8,38.4154,1754,adelaide
2475.33333,38.31983,8935,"brooklyn, ny"
344.8,37.88178,1255,nairobi kenya
1461.86667,37.59816,5350,nairobi
309.13333,37.43139,1135,"bloomington, in"
326,37.38532,1198,rennes
1322.73333,37.38365,4861,"portland, or"
1199.33333,37.31978,4413,"new york, new york"
324.8,37.15397,1199,"little rock, ar"
300.93333,36.87607,1117,"harrisburg, pa"
2333.2,36.82566,8669,"seattle, wa"
4555,36.46334,17047,"new york, ny"
306.46667,36.46098,1147,austin tx
309.93333,35.91071,1173,"calgary, ab"
271.33333,35.67046,1032,thessaloniki
2088,35.46798,7975,seattle
331.2,35.39218,1267,"calgary, alberta"
1488.4,35.37408,5696,ct
262.8,35.17131,1010,"san marcos, tx"
421.53333,35.02659,1625,"bay area, ca"
299.33333,34.45894,1168,islamabad
402.46667,34.41259,1572,auckland
958.53333,34.38726,3746,"nairobi, kenya"
256,33.68421,1016,"alberta, canada"
883.46667,33.40728,3528,long island
256.33333,33.39123,1024,south carolina 
2206.2,33.32729,8826,"austin, tx"
256.53333,33.29584,1027,"jackson, ms"
413.06667,33.23321,1656,washington d.c.
629.53333,33.23011,2524,"madison, wi"
968.26667,33.06094,3897,kenya
306.8,33.01765,1236,puchong
3246.66667,32.81671,13140,glasgow
613.66667,32.75801,2487,brisbane
1976.93333,32.75744,8012,connecticut
268.06667,32.69371,1088,"newark, nj"
246.33333,32.21447,1011,"columbus, ga"
659.86667,32.0926,2716,new jersey 
1495.73333,32.01301,6168,washington dc
283.93333,32.00812,1171,"salt lake city, utah"
1364.73333,31.91413,5641,"austin, texas"
306.26667,31.19652,1288,tn
438.06667,31.11416,1846,new england
727.06667,30.99264,3073,"long island, ny"
291.4,30.91449,1234,"gainesville, fl"
1558.4,30.51737,6665,brooklyn
766.46667,30.49359,3280,denver
265.66667,30.41985,1139,breda
