date,new york,edmonton,delhi,london,washington
11/1/12,157499,6646,8649,273694,43769
11/2/12,164759,6222,9026,276808,43947
11/3/12,149149,6013,8305,280839,37602
11/4/12,172534,6615,8659,291822,44540
11/5/12,166748,6280,8702,267256,47721
11/6/12,217693,7922,9095,284969,72066
11/7/12,188911,8934,9441,271507,55364
11/8/12,155610,6413,8519,257922,43927
11/9/12,139707,6187,9019,247792,40620
11/10/12,129444,5227,7659,257723,33686
11/11/12,154333,5813,7490,296828,38559
11/12/12,166709,5376,8245,265646,43869
11/13/12,137702,5176,6472,216295,38943
11/14/12,131446,5164,7342,217433,38420
11/15/12,133094,5072,7224,214541,37762
AVG,157689.2,6204,8256.466667,261405,44053
VAR,565132312.5,1147718.714,706922.6952,716510960.6,86784213.71
