location,per change,abs change,avg,standard dev
san francisco california,217.254174397,156.133333333,71.8666666667,10.4935959306
chile,64.1875593889,1170.86666667,1824.13333333,271.29120066
tasikmalaya,-26.3913824057,-29.4,111.4,26.6102737052
milan italy,inf,98.0,0.0,0.0
santiago de chile,96.4944649446,209.2,216.8,20.3672940438
よこはま,0.182982616651,0.133333333333,72.8666666667,11.0987486782
jonesboro arkansas,inf,77.0,0.0,0.0
the dmv,inf,59.0,0.0,0.0
durban south africa,173.417721519,45.6666666667,26.3333333333,28.4620605173
the kitchen,inf,160.0,0.0,0.0
the bay,388.038277512,108.133333333,27.8666666667,30.4365277623
land of the free,inf,69.0,0.0,0.0
paris,102.299877191,1221.73333333,1194.26666667,296.742641957
京都市,-8.16326530612,-5.6,68.6,11.0441538079
ontario canada,227.63671875,932.4,409.6,55.1214416841
seoul korea,7.424071991,26.4,355.6,56.3593233931
nyc ,269.909502262,238.6,88.4,15.8610634364
charleston wv,3584.21052632,136.2,3.8,14.2182980697
depok indonesia,-33.3855799373,-42.6,127.6,34.9414748782
youngstown oh,inf,178.0,0.0,0.0
arkansas,411.003521127,1245.06666667,302.933333333,92.0249724562
toms river nj,inf,64.0,0.0,0.0
chennai,120.937912814,122.066666667,100.933333333,19.6247009885
por ahí,-11.7647058824,-8.53333333333,72.5333333333,9.36565830871
el salvador ,21.1656441718,27.6,130.4,19.1408812058
saskatchewan,inf,108.0,0.0,0.0
aurora,331.25,406.333333333,122.666666667,78.2446306287
internet,308.985282727,265.933333333,86.0666666667,47.3602740232
odessa tx,inf,90.0,0.0,0.0
lawrenceville ga,inf,101.0,0.0,0.0
land of ooo,246.036585366,161.4,65.6,51.3625025351
manado,-12.1661721068,-41.0,337.0,87.8908413886
pilipinas,100.261780105,25.5333333333,25.4666666667,31.7088140568
sunshine state ☀,inf,88.0,0.0,0.0
横浜市,-2.63986437394,-7.26666666667,275.266666667,27.2897213047
columbiasc,2400.0,81.6,3.4,12.721635115
ithaca ny,inf,94.0,0.0,0.0
paducah ky,inf,55.0,0.0,0.0
wilmington delaware,inf,66.0,0.0,0.0
estado de méxico,517.307692308,89.6666666667,17.3333333333,29.252160414
venus,178.647686833,167.333333333,93.6666666667,12.7940958605
tempe az,219.979188345,140.933333333,64.0666666667,18.3028838044
somewhere on earth,227.361563518,93.0666666667,40.9333333333,29.6186127667
jamaica,128.076256499,739.0,577.0,61.5499796913
in my own world,283.677877198,612.933333333,216.066666667,43.2149151207
campeche,40.0404448938,79.2,197.8,66.6255206359
houstalantavegas,213.166144201,226.666666667,106.333333333,27.460678959
seattle washington,202.465753425,246.333333333,121.666666667,19.2203595758
aiken sc,inf,68.0,0.0,0.0
astoria ny,inf,76.0,0.0,0.0
日本のどこか,74.9011857708,25.2666666667,33.7333333333,32.2044855399
berlin germany,inf,67.0,0.0,0.0
grand rapids michigan,868.75,139.0,16.0,26.6157847902
durban,110.175145955,88.0666666667,79.9333333333,48.3300688553
in my world,242.50343879,117.533333333,48.4666666667,29.8526752942
inglewood,424.493243243,167.533333333,39.4666666667,38.7932411066
布団,1.55990706937,3.13333333333,200.866666667,46.3074747986
pacific northwest,3715.78947368,141.2,3.8,14.2182980697
panama,108.275161823,568.733333333,525.266666667,110.337341317
japan ,11.5384615385,9.0,78.0,13.7501515143
asia,10.7544141252,8.93333333333,83.0666666667,14.8479703065
natchitoches la,inf,54.0,0.0,0.0
mérida yucatán méxico,40.4320987654,26.2,64.8,19.8131269617
幻想郷,12.0996441281,6.8,56.2,30.4219219204
茨城,5.85774058577,14.0,239.0,35.0504398451
edinburg texas,inf,55.0,0.0,0.0
midwest usa,inf,67.0,0.0,0.0
natal/rn,217.427385892,34.9333333333,16.0666666667,26.7966830451
scranton pa,inf,86.0,0.0,0.0
千葉市,-8.88485947416,-6.53333333333,73.5333333333,12.3982077558
the island of misfit toys,inf,72.0,0.0,0.0
oxford mississippi,inf,64.0,0.0,0.0
chiapas,54.4554455446,55.0,101.0,58.1435006399
peoria il,1063.79310345,82.2666666667,7.73333333333,19.8812027358
here,256.385235469,14906.0666667,5813.93333333,838.543536271
pluto,189.989235737,588.333333333,309.666666667,61.8295147069
bangkok,20.0139416002,172.266666667,860.733333333,200.974448348
with waldo,inf,63.0,0.0,0.0
studio,302.108433735,200.6,66.4,43.3525085779
niagara falls,inf,60.0,0.0,0.0
montgomery alabama,1063.46153846,110.6,10.4,20.8032048813
your mom's house,inf,71.0,0.0,0.0
jurassic park,inf,51.0,0.0,0.0
kennesaw georgia,inf,60.0,0.0,0.0
upper east side,inf,53.0,0.0,0.0
oman,1349.15254237,53.0666666667,3.93333333333,14.7171857213
illinois usa,inf,61.0,0.0,0.0
nomaden,63.9784946237,23.8,37.2,35.8760830266
behind you ,607.04845815,91.8666666667,15.1333333333,25.2345442246
cloud 9 ☁,2192.45283019,77.4666666667,3.53333333333,13.2205227666
texas y'all,1400.0,52.2666666667,3.73333333333,13.968854244
hogwarts,101.7478269,725.733333333,713.266666667,121.760128486
wilson nc,inf,71.0,0.0,0.0
dominican republic,79.9776077626,285.733333333,357.266666667,54.4872666063
the throne,inf,84.0,0.0,0.0
louisvilleky,370.149253731,82.6666666667,22.3333333333,33.2759506083
panamá,70.8662591322,316.866666667,447.133333333,78.5322580572
god's hands,576.900584795,394.6,68.4,30.5675208896
lake charles louisiana,inf,57.0,0.0,0.0
georgia ,751.897184823,409.533333333,54.4666666667,44.3529280006
lake charles la,inf,153.0,0.0,0.0
jakarta indonesia,-11.6723686859,-193.333333333,1656.33333333,420.401976949
toronto canada ,2150.0,74.5333333333,3.46666666667,12.9710789408
subang jaya,8.60440713536,5.46666666667,63.5333333333,18.8816195162
jersey city nj,1668.29268293,136.8,8.2,21.2546465508
surprise az,inf,66.0,0.0,0.0
トイレ,373.684210526,42.6,11.4,22.9253862199
wilmington de,inf,171.0,0.0,0.0
bogota colombia,38.7665198238,88.0,227.0,90.3570694523
springfield illinois,inf,54.0,0.0,0.0
vancouver canada,196.694214876,238.0,121.0,14.6241808887
where i want to be,inf,94.0,0.0,0.0
johnson city tn,inf,72.0,0.0,0.0
terre haute in,inf,66.0,0.0,0.0
rack city bitch,2004.83870968,82.8666666667,4.13333333333,15.4655171987
cali,206.764641821,12024.4666667,5815.53333333,1273.66666841
whittier,273.690337602,156.733333333,57.2666666667,42.3909843664
indiana,392.020078512,4061.06666667,1035.93333333,175.676014932
follows you ,2005.26315789,76.2,3.8,14.2182980697
maad city,178.985507246,98.8,55.2,34.911698135
el monte,inf,61.0,0.0,0.0
quetzaltenango,45.253164557,47.6666666667,105.333333333,49.7053540599
in my thoughts,2442.37288136,192.133333333,7.86666666667,20.1092571276
las vegas ,225.370675453,1368.0,607.0,104.365383789
padang,-27.7156549521,-69.4,250.4,75.9111761644
calgary ab,337.727272727,247.666666667,73.3333333333,24.5537958143
tx ,415.23297491,463.4,111.6,48.6248221933
alberta,381.221481221,724.066666667,189.933333333,81.2662018034
berlin,410.071090047,230.733333333,56.2666666667,30.8403775737
colorado usa,inf,77.0,0.0,0.0
hakuna matata,inf,68.0,0.0,0.0
naples fl,inf,163.0,0.0,0.0
tampa,395.778364116,1500.0,379.0,71.9620270235
waterloo,inf,182.0,0.0,0.0
md,704.611650485,2322.4,329.6,77.8740864045
arizona ,374.065138721,206.733333333,55.2666666667,28.9815266832
kampala,inf,127.0,0.0,0.0
decatur al,inf,61.0,0.0,0.0
mo,287.564203502,15340.4,5334.6,1065.22002735
work,inf,106.0,0.0,0.0
mi,277.380516547,26770.7333333,9651.26666667,1465.91543488
racine wi,2175.86206897,84.1333333333,3.86666666667,14.4677418955
tangerang,-36.2136803874,-319.066666667,881.066666667,276.951853016
ann arbor,5235.32934132,582.866666667,11.1333333333,30.6264954283
神奈川県横浜市,-2.89087947883,-4.73333333333,163.733333333,16.3359181628
orange county,311.111111111,448.0,144.0,42.0349061297
merida,81.101511879,250.333333333,308.666666667,64.5535092428
davao city,26.3157894737,25.0,95.0,75.1159104318
mx,65.690376569,52.3333333333,79.6666666667,15.56777298
ghana,inf,59.0,0.0,0.0
mesa arizona,1661.9047619,69.8,4.2,15.7149610245
lubbock tx,490.019569472,166.933333333,34.0666666667,32.278923292
la ,46.7969673785,2242.66666667,4792.33333333,450.258543012
the tardis,2471.42857143,103.8,4.2,15.7149610245
santo domingo rd,32.5431034483,30.2,92.8,21.8424662832
between heaven and hell,inf,73.0,0.0,0.0
uae,73.8775510204,181.0,245.0,77.1975820001
new delhi,92.884697814,144.466666667,155.533333333,36.9212976779
statesboro ga,1737.91208791,210.866666667,12.1333333333,24.3060120592
college station,612.201591512,615.466666667,100.533333333,71.7234193893
san francisco bay area,1728.57142857,242.0,14.0,23.2235512645
satx,390.0,117.0,30.0,28.3572448121
on your timeline,inf,60.0,0.0,0.0
sinaloa,198.270893372,91.7333333333,46.2666666667,28.2995092223
cartagena colombia,30.2325581395,26.0,86.0,67.101912541
fayetteville ar,2701.10497238,325.933333333,12.0666666667,24.3323287464
louisville,281.761314853,1531.46666667,543.533333333,176.731384373
ohio usa,inf,79.0,0.0,0.0
denton tx,508.469539376,228.133333333,44.8666666667,28.168224809
wichita kansas,261.809045226,173.666666667,66.3333333333,30.3307691224
south florida ,inf,60.0,0.0,0.0
indianapolis in,347.104537478,923.066666667,265.933333333,45.0931874628
new jersey ,309.572121747,467.866666667,151.133333333,35.6031209618
wherever you are,inf,51.0,0.0,0.0
on the court,210.130331754,236.466666667,112.533333333,34.9644899227
lexington ky,323.996584116,505.866666667,156.133333333,78.6179510177
british columbia canada,2121.15384615,73.5333333333,3.46666666667,12.9710789408
compton california,2205.55555556,79.4,3.6,13.4699665924
calgary alberta,400.472589792,282.466666667,70.5333333333,33.0693547295
karachi,115.083798883,41.2,35.8,36.3009641745
kuching,104.092920354,62.7333333333,60.2666666667,44.6145965153
morgantown west virginia,inf,51.0,0.0,0.0
helsinki,inf,53.0,0.0,0.0
austin,343.304421409,3245.6,945.4,197.27807785
bridgeport ct,2077.41935484,85.8666666667,4.13333333333,15.4655171987
denpasar bali,2.78578290106,5.8,208.2,68.6665372167
toluca,35.6466876972,22.6,63.4,42.2055288637
nj/ny,inf,96.0,0.0,0.0
yokohama japan,353.874538745,63.9333333333,18.0666666667,25.585065088
alexandria va,875.479744136,273.733333333,31.2666666667,30.0210296663
harlem,479.295154185,217.6,45.4,28.779159126
nyc,402.286636627,3987.73333333,991.266666667,108.696192308
dallas tx,264.000385951,1824.06666667,690.933333333,149.945530851
the golden state,inf,94.0,0.0,0.0
jogjakarta,-16.7224080268,-33.3333333333,199.333333333,35.1428829526
querétaro méxico,142.819843342,36.4666666667,25.5333333333,31.8472744342
seoulkorea,-8.23262839879,-7.26666666667,88.2666666667,27.2994912448
rhode island,331.398416887,586.133333333,176.866666667,47.1435632463
modesto,346.380697051,258.4,74.6,61.771406546
rio de janeiro - brasil,583.035714286,43.5333333333,7.46666666667,19.1236909501
road to success,1307.25806452,324.2,24.8,40.5285084848
kajang,16.2097735399,9.06666666667,55.9333333333,23.648725594
japan,28.7581699346,660.0,2295.0,191.940963146
club paradise,279.105839416,203.933333333,73.0666666667,37.5383655596
p sherman 42 wallaby way,286.336154776,157.866666667,55.1333333333,29.9774730237
chihuahua,275.0,52.0666666667,18.9333333333,26.940593081
huntington beach ca,inf,91.0,0.0,0.0
somewhere,190.812939771,2874.53333333,1506.46666667,233.491717674
