location,per change,abs change,avg,standard dev,main_hr_tweets
toronto,15900.0,5596.8,35.2,40.3107925995,5632
mexico city,8875.80645161,366.866666667,4.13333333333,5.33999583853,371
tokyo,9680.0,645.333333333,6.66666666667,4.81202198203,652
chicago,10438.9105058,10731.2,102.8,144.778083056,10834
chicago ,10933.9734121,4934.86666667,45.1333333333,69.301146375,4980
boston,11313.1627057,4125.53333333,36.4666666667,45.5585581666,4162
boston ,11275.8064516,2330.33333333,20.6666666667,26.0989569821,2351
singapore,15816.0305344,1381.26666667,8.73333333333,6.57740239169,1390
buenos aires,11742.1052632,594.933333333,5.06666666667,3.10841152717,600
bandung,3552.17391304,163.4,4.6,3.55527776693,168
rio,12834.4758065,4243.93333333,33.0666666667,35.9471216588,4277
new york,10406.6273932,14132.2,135.8,167.696233311,14268
london,15050.0,3913.0,26.0,27.6429617323,3939
los angeles,8532.41106719,7195.66666667,84.3333333333,92.2841023988,7280
paris,23608.9552239,2109.06666667,8.93333333333,12.9381434354,2118
washington dc,5506.29453682,3090.86666667,56.1333333333,65.2695607121,3147
jakarta,4942.55319149,619.466666667,12.5333333333,8.67845352327,632
lima,13130.7692308,1024.2,7.8,7.54718490565,1032
atlanta ,11538.0255941,4207.53333333,36.4666666667,47.7519516762,4244
