location,per change,abs change,avg,standard dev
toronto,215.0488599,6602,3070,428.7323952
mexico city,77.72511848,502.9333333,647.0666667,132.8113784
tokyo,29.34335555,551.7333333,1880.266667,121.1756118
chicago,304.5505823,12238.46667,4018.533333,898.7573545
chicago ,330.2292783,5463.533333,1654.466667,389.5621246
boston,386.8242589,5323.733333,1376.266667,280.1129455
boston ,463.7372525,3092.2,666.8,144.1948681
singapore,43.74490341,1037.133333,2370.866667,68.04985101
buenos aires,18.95444141,342.2666667,1805.733333,226.0939235
bandung,-22.01351435,-710.2,3226.2,683.6933231
rio,114.497003,2941.733333,2569.266667,479.8908857
new york,327.3427324,17088.6,5220.4,769.7647952
london,193.8164376,2990.2,1542.8,221.1226507
los angeles,256.7990932,9213.266667,3587.733333,404.0253237
paris,102.2998772,1221.733333,1194.266667,296.742642
washington dc,765.2954809,5283.6,690.4,132.0897675
jakarta,-15.96937434,-1092.933333,6843.933333,1584.530823
lima,75.21486773,898.4666667,1194.533333,163.4086357
atlanta ,397.7258134,4955.133333,1245.866667,246.9660885
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
location,abs change_ keywords,abs change,,
toronto,2287.133333,6602,,
mexico city,273.3333333,502.9333333,,
tokyo,155,551.7333333,,
chicago,3682.666667,12238.46667,,
chicago ,390.7333333,5463.533333,,
boston,1156.933333,5323.733333,,
boston ,125,3092.2,,
singapore,1001.4,1037.133333,,
buenos aires,180.7333333,342.2666667,,
bandung,60.13333333,-710.2,,
rio,18,2941.733333,,
new york,4339.133333,17088.6,,
london,1262.533333,2990.2,,
los angeles,2552.733333,9213.266667,,
paris,534.3333333,1221.733333,,
washington dc,2524,5283.6,,
jakarta,180.6,-1092.933333,,
lima,147.0666667,898.4666667,,
atlanta ,165.1333333,4955.133333,,
