location,per change,abs change,avg,standard dev
toronto,19273.59551,2287.133333,11.86666667,15.02826966
mexico city,10250,273.3333333,2.666666667,3.399346342
tokyo,7750,155,2,1.154700538
chicago,9864.285714,3682.666667,37.33333333,48.89398963
chicago ,17238.23529,390.7333333,2.266666667,3.820413009
boston,11492.71523,1156.933333,10.06666667,12.10215775
boston ,12500,125,1,1.460593487
singapore,15172.72727,1001.4,6.6,3.895296309
buenos aires,14268.42105,180.7333333,1.266666667,1.611072796
bandung,3221.428571,60.13333333,1.866666667,2.21710522
rio,inf,18,0,0
new york,10884.11371,4339.133333,39.86666667,46.3722139
london,14911.81102,1262.533333,8.466666667,8.163877075
los angeles,7673.547094,2552.733333,33.26666667,31.40799615
paris,20037.5,534.3333333,2.666666667,3.069563849
washington dc,5486.956522,2524,46,52.02819748
jakarta,4104.545455,180.6,4.4,2.602562839
lima,15757.14286,147.0666667,0.933333333,0.928559218
atlanta ,19053.84615,165.1333333,0.866666667,1.857118437
